frame, face_id, timestamp, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1885,0,32.482,0.98,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.06,0.61,0.04,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1887,0,32.517,0.98,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.07,0.63,0.14,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1889,0,32.551,0.98,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.04,0.0,0.02,0.6,0.15,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1891,0,32.586,0.98,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.01,0.0,0.07,0.54,0.12,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1893,0,32.62,0.98,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.16,0.53,0.05,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1894,0,32.637,0.98,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.17,0.6,0.02,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1895,0,32.655,0.98,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.01,0.0,0.13,0.67,0.05,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1896,0,32.672,0.98,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.01,0.0,0.11,0.69,0.04,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1897,0,32.689,0.98,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.01,0.0,0.11,0.64,0.02,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1898,0,32.706,0.98,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.13,0.66,0.01,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
