 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,pain_label
0.09,1.91,0.0,0.0,0.69,0.0,0.0,0.0,0.43,0.91,0.42,0.63,0.0,2.37,1.35,0.0,0.0,0
0.07,1.99,0.0,0.0,0.67,0.0,0.0,0.0,0.37,0.85,0.36,0.71,0.0,2.4,1.41,0.0,0.0,0
0.03,1.93,0.0,0.0,0.64,0.0,0.0,0.0,0.37,0.74,0.38,0.79,0.0,2.42,1.4,0.0,0.0,0
0.16,2.0,0.0,0.0,0.62,0.0,0.0,0.0,0.38,0.73,0.45,0.87,0.0,2.4,1.39,0.0,0.0,0
0.23,2.04,0.0,0.0,0.63,0.0,0.0,0.0,0.45,0.76,0.54,0.87,0.0,2.33,1.36,0.0,0.0,0
0.39,2.19,0.0,0.08,0.66,0.0,0.0,0.0,0.48,0.84,0.56,0.86,0.0,2.21,1.41,0.0,0.0,0
0.47,2.25,0.0,0.22,0.7,0.0,0.0,0.0,0.51,0.93,0.53,0.85,0.0,2.16,1.47,0.0,0.0,0
0.6,2.32,0.0,0.33,0.68,0.0,0.0,0.0,0.49,1.0,0.45,0.82,0.0,2.08,1.54,0.03,0.0,0
0.59,2.35,0.0,0.35,0.68,0.0,0.0,0.0,0.53,1.12,0.38,0.82,0.0,2.04,1.63,0.13,0.0,0
0.55,2.45,0.0,0.3,0.66,0.0,0.0,0.0,0.55,1.2,0.45,0.87,0.0,2.06,1.6,0.13,0.0,0
0.54,2.51,0.0,0.2,0.65,0.0,0.0,0.0,0.58,1.18,0.56,0.91,0.0,2.12,1.62,0.15,0.0,0
0.59,2.6,0.0,0.18,0.62,0.0,0.0,0.0,0.53,1.02,0.54,0.91,0.0,2.13,1.6,0.22,0.0,0
0.56,2.61,0.0,0.21,0.64,0.0,0.0,0.0,0.53,0.9,0.37,0.91,0.0,2.05,1.68,0.3,0.0,0
0.52,2.71,0.0,0.21,0.65,0.0,0.0,0.0,0.53,0.93,0.22,1.04,0.0,2.0,1.7,0.41,0.0,0
0.4,2.71,0.0,0.14,0.7,0.0,0.0,0.0,0.53,0.93,0.15,1.18,0.0,2.0,1.7,0.29,0.0,0
0.35,2.68,0.0,0.12,0.68,0.0,0.0,0.0,0.51,0.99,0.14,1.26,0.0,1.95,1.71,0.32,0.0,0
0.29,2.56,0.0,0.16,0.7,0.0,0.0,0.0,0.52,0.92,0.18,1.28,0.0,1.88,1.71,0.27,0.0,0
0.27,2.44,0.0,0.15,0.69,0.0,0.0,0.0,0.53,1.07,0.39,1.23,0.0,1.78,1.81,0.37,0.0,0
0.24,2.31,0.0,0.05,0.71,0.0,0.0,0.0,0.6,1.01,0.76,1.26,0.0,1.74,1.83,0.49,0.0,0
0.31,2.21,0.0,0.0,0.72,0.05,0.0,0.0,0.67,1.18,1.03,1.24,0.0,1.65,1.77,0.6,0.0,0
0.36,2.19,0.0,0.0,0.74,0.05,0.0,0.0,0.81,1.19,1.19,1.29,0.0,1.64,1.72,0.7,0.0,0
0.48,2.26,0.0,0.0,0.74,0.05,0.0,0.0,0.85,1.23,1.29,1.21,0.0,1.73,1.65,0.67,0.0,0
0.52,2.34,0.0,0.0,0.75,0.0,0.0,0.0,0.79,1.11,1.07,1.15,0.0,1.75,1.73,0.63,0.0,0
0.58,2.3,0.0,0.0,0.72,0.0,0.0,0.0,0.66,1.02,0.92,1.09,0.0,1.73,1.73,0.56,0.0,0
0.49,2.22,0.0,0.0,0.71,0.0,0.0,0.0,0.48,1.0,0.65,1.03,0.0,1.61,1.76,0.56,0.0,0
0.41,2.06,0.0,0.0,0.66,0.0,0.0,0.0,0.45,1.01,0.67,0.98,0.0,1.79,1.69,0.46,0.0,0
0.39,1.95,0.0,0.0,0.67,0.0,0.0,0.0,0.39,0.96,0.68,0.85,0.0,1.87,1.67,0.45,0.0,0
0.39,1.81,0.0,0.0,0.67,0.0,0.0,0.0,0.43,0.83,0.73,0.83,0.0,2.0,1.73,0.28,0.0,0
0.39,1.7,0.0,0.0,0.7,0.0,0.0,0.0,0.34,0.76,0.73,0.76,0.0,1.87,1.77,0.38,0.0,0
0.27,1.64,0.0,0.0,0.67,0.0,0.0,0.0,0.36,0.78,0.79,0.74,0.0,1.95,1.72,0.26,0.0,0
0.24,1.53,0.0,0.0,0.64,0.0,0.0,0.0,0.35,0.9,0.79,0.68,0.0,1.92,1.68,0.3,0.0,0
0.19,1.42,0.0,0.0,0.64,0.0,0.0,0.0,0.34,0.88,0.8,0.65,0.0,1.99,1.61,0.24,0.0,0
0.17,1.29,0.0,0.0,0.64,0.0,0.0,0.0,0.28,0.83,0.77,0.71,0.0,1.98,1.49,0.26,0.0,0
0.14,1.22,0.0,0.01,0.66,0.0,0.0,0.0,0.24,0.78,0.8,0.74,0.0,1.97,1.47,0.31,0.0,0
0.13,1.31,0.0,0.03,0.7,0.0,0.0,0.0,0.2,0.77,0.75,0.7,0.0,1.89,1.49,0.37,0.0,0
0.15,1.36,0.0,0.03,0.75,0.0,0.0,0.0,0.19,0.67,0.64,0.62,0.0,1.83,1.54,0.39,0.0,0
0.13,1.47,0.0,0.01,0.83,0.0,0.0,0.0,0.11,0.6,0.49,0.51,0.0,1.62,1.48,0.47,0.0,0
0.17,1.56,0.0,0.03,0.87,0.0,0.0,0.0,0.08,0.57,0.38,0.52,0.0,1.49,1.43,0.56,0.0,0
0.26,1.72,0.0,0.03,0.91,0.0,0.0,0.0,0.0,0.58,0.27,0.47,0.0,1.26,1.38,0.74,0.0,0
0.34,1.74,0.0,0.03,0.91,0.0,0.0,0.0,0.0,0.57,0.22,0.45,0.0,1.3,1.33,0.74,0.0,0
0.28,1.68,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.6,0.41,0.47,0.0,1.44,1.4,0.52,0.0,0
0.22,1.61,0.0,0.0,0.88,0.0,0.0,0.0,0.02,0.75,0.56,0.48,0.0,1.5,1.46,0.35,0.0,0
0.23,1.7,0.0,0.01,0.88,0.0,0.0,0.0,0.08,0.85,0.65,0.5,0.0,1.54,1.57,0.22,0.0,0
0.24,1.84,0.0,0.02,0.88,0.0,0.0,0.0,0.17,0.94,0.62,0.41,0.0,1.48,1.57,0.18,0.0,0
0.29,1.91,0.0,0.05,0.83,0.0,0.0,0.0,0.2,0.91,0.62,0.32,0.0,1.44,1.55,0.18,0.0,0
0.27,1.81,0.0,0.08,0.79,0.0,0.0,0.0,0.17,0.91,0.51,0.24,0.0,1.32,1.53,0.29,0.0,0
0.27,1.69,0.0,0.07,0.79,0.0,0.0,0.0,0.12,0.82,0.48,0.23,0.0,1.16,1.51,0.46,0.0,0
0.16,1.62,0.0,0.04,0.79,0.0,0.0,0.0,0.09,0.75,0.4,0.24,0.0,1.02,1.57,0.58,0.0,0
0.12,1.61,0.0,0.0,0.75,0.0,0.0,0.0,0.06,0.7,0.48,0.25,0.0,0.92,1.51,0.64,0.0,0
0.06,1.57,0.0,0.0,0.72,0.0,0.0,0.0,0.05,0.68,0.51,0.3,0.0,0.9,1.5,0.67,0.0,0
0.12,1.6,0.0,0.04,0.7,0.0,0.0,0.0,0.07,0.67,0.61,0.33,0.0,0.93,1.5,0.59,0.0,0
0.09,1.63,0.0,0.05,0.71,0.0,0.0,0.0,0.14,0.73,0.84,0.46,0.0,1.14,1.5,0.36,0.0,0
0.09,1.7,0.0,0.15,0.68,0.0,0.0,0.0,0.15,0.73,0.83,0.32,0.0,1.06,1.51,0.34,0.0,0
0.03,1.64,0.0,0.18,0.72,0.0,0.0,0.0,0.16,0.73,0.86,0.38,0.0,1.1,1.46,0.29,0.0,0
0.0,1.55,0.0,0.24,0.74,0.0,0.0,0.0,0.14,0.75,0.9,0.34,0.0,1.08,1.48,0.34,0.0,0
0.0,1.44,0.0,0.21,0.79,0.0,0.0,0.0,0.2,0.76,0.92,0.44,0.0,1.19,1.44,0.29,0.0,0
0.0,1.38,0.0,0.18,0.77,0.0,0.0,0.0,0.19,0.8,0.82,0.36,0.0,1.1,1.39,0.42,0.0,0
0.0,1.32,0.0,0.09,0.79,0.0,0.0,0.0,0.17,0.81,0.53,0.25,0.0,0.97,1.31,0.59,0.0,0
0.0,1.32,0.0,0.02,0.79,0.0,0.0,0.0,0.13,0.83,0.46,0.23,0.0,0.99,1.32,0.6,0.0,0
0.0,1.27,0.0,0.05,0.82,0.0,0.0,0.0,0.1,0.83,0.41,0.24,0.0,1.06,1.34,0.6,0.0,0
0.0,1.38,0.0,0.13,0.83,0.0,0.0,0.0,0.08,0.75,0.36,0.25,0.0,1.06,1.32,0.5,0.0,0
0.0,1.38,0.0,0.2,0.83,0.0,0.0,0.0,0.04,0.68,0.32,0.25,0.0,1.07,1.27,0.56,0.0,0
