 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,pain_label
0.0,0.31,0.0,0.04,0.3,0.0,0.5,0.0,0.0,0.0,0.97,3.32,0.58,0.0,0.11,0.72,0.0,0
0.0,0.32,0.0,0.04,0.3,0.0,0.51,0.0,0.0,0.0,0.87,3.38,0.7,0.0,0.11,0.91,0.0,0
0.0,0.37,0.0,0.04,0.3,0.0,0.52,0.0,0.0,0.0,0.81,3.44,0.65,0.0,0.1,1.02,0.0,0
0.0,0.4,0.0,0.0,0.32,0.0,0.53,0.0,0.0,0.0,1.08,3.44,0.64,0.0,0.31,1.06,0.0,0
0.0,0.43,0.0,0.0,0.31,0.0,0.52,0.0,0.0,0.0,1.16,3.38,0.63,0.0,0.36,1.19,0.0,0
0.0,0.44,0.0,0.0,0.3,0.0,0.52,0.0,0.0,0.0,1.36,3.42,0.6,0.0,0.36,1.29,0.0,0
0.0,0.48,0.0,0.0,0.28,0.0,0.47,0.0,0.0,0.0,1.53,3.34,0.71,0.0,0.22,1.33,0.0,0
0.0,0.53,0.0,0.0,0.31,0.0,0.44,0.0,0.0,0.0,1.9,3.38,0.86,0.0,0.26,1.32,0.0,0
0.0,0.52,0.0,0.0,0.29,0.0,0.35,0.0,0.0,0.0,2.1,3.42,0.98,0.0,0.32,1.4,0.0,0
0.0,0.55,0.0,0.0,0.3,0.0,0.28,0.0,0.0,0.0,2.28,3.48,0.96,0.0,0.35,1.39,0.0,0
0.0,0.55,0.0,0.0,0.3,0.0,0.26,0.0,0.0,0.0,2.38,3.53,0.87,0.0,0.4,1.34,0.0,0
0.0,0.6,0.0,0.0,0.31,0.0,0.25,0.0,0.0,0.0,2.24,3.42,0.67,0.0,0.39,1.19,0.0,0
0.03,0.66,0.0,0.0,0.29,0.0,0.19,0.0,0.0,0.0,2.07,3.55,0.43,0.0,0.29,1.13,0.0,0
0.04,0.8,0.0,0.0,0.28,0.0,0.22,0.0,0.0,0.0,1.87,3.41,0.27,0.0,0.26,1.03,0.0,0
0.04,0.85,0.0,0.0,0.29,0.0,0.23,0.0,0.0,0.0,1.94,3.45,0.27,0.0,0.2,1.13,0.0,0
0.01,0.79,0.0,0.0,0.3,0.0,0.29,0.0,0.0,0.0,1.92,3.43,0.25,0.0,0.2,1.26,0.0,0
0.0,0.71,0.0,0.0,0.28,0.0,0.23,0.0,0.0,0.0,1.86,3.67,0.25,0.0,0.09,1.4,0.0,0
0.0,0.62,0.0,0.0,0.26,0.0,0.2,0.0,0.0,0.0,1.78,3.83,0.16,0.0,0.01,1.38,0.0,0
0.0,0.62,0.0,0.0,0.29,0.0,0.2,0.0,0.0,0.0,1.78,3.73,0.18,0.0,0.04,1.36,0.0,0
0.0,0.55,0.0,0.0,0.32,0.0,0.23,0.0,0.0,0.0,1.84,3.69,0.2,0.0,0.04,1.28,0.0,0
